in,berta,bertb
0,1.4662616,A
1,1.6888511,B
2,1.6506324,A
3,0.23450166,A
4,0.5633358,A
5,1.4933733,A
6,0.7593483,B
7,0.47867405,C
8,0.1894024,C
9,0.14265817,C
10,0.8629648,B
11,0.18889284,C
12,1.3334403,B
13,1.4255221,C
14,1.5215678,B
15,0.73354006,C
16,0.28667066,B
17,1.039259,B
18,1.069957,C
19,1.541303,C
20,1.1853974,A
21,1.5539527,A
22,0.9534633,A
23,1.1649585,A
24,0.37145725,B
25,0.8446307,C
26,1.463181,B
27,1.4260967,B
28,1.1562793,C
29,0.5101787,A
30,1.4350219,B
31,1.57885,C
32,0.62927634,A
33,0.7254219,C
34,1.5265808,A
35,0.49550903,C
36,0.6495465,A
37,1.4272227,A
38,0.79431856,A
39,1.3074952,B
40,0.6163167,B
41,0.14231607,B
42,0.19113806,B
43,0.25699183,B
44,1.6428089,B
45,0.74070513,B
46,0.87054,C
47,1.59919,B
48,1.3526486,C
49,0.6990054,C
50,0.11167387,C
51,0.40509897,C
52,0.7850193,B
53,0.543782,A
54,1.1802347,C
55,0.17315578,C
56,1.475184,A
57,1.4058623,C
58,1.4154738,A
59,0.5376835,C
60,0.65145123,C
61,0.29081652,A
62,0.5938289,B
63,0.26617008,B
64,1.0539417,C
65,0.97446656,A
66,0.14849463,B
67,0.8800584,A
68,1.0517087,B
69,0.76029754,A
70,0.21750866,C
71,1.0852612,C
72,1.4009773,A
73,0.47353423,A
74,1.5241189,B
75,1.4332348,C
76,0.35634348,B
77,0.31131464,B
78,1.456002,B
79,0.43417898,A
80,0.47107732,B
81,0.8550811,A
82,1.4039786,C
83,0.8076253,B
84,0.7483885,B
85,0.083577715,B
86,0.9701483,A
87,0.7677206,C
88,1.4214735,A
89,0.8310617,A
90,1.0759149,A
91,1.5164486,A
92,0.7097136,C
93,0.25154695,B
94,0.2880025,B
95,1.2600855,C
96,1.488257,B
97,1.4467809,C
98,1.4893541,B
99,1.3490275,B
100,1.5112134,B
101,1.3764317,C
102,0.42647249,A
103,0.9569098,B
104,1.5683007,C
105,1.311738,B
106,0.6007396,B
107,1.2641408,A
108,0.88159263,B
109,1.1728609,C
110,0.7040893,C
111,1.6305882,A
112,1.082048,B
113,1.4142413,A
114,1.0537369,A
115,0.46990836,A
116,0.5181947,B
117,0.21662474,C
118,1.4362569,A
119,1.4177105,B
120,1.5393827,B
121,0.9321458,C
122,1.5604414,A
123,1.4594698,B
124,1.1582682,B
125,1.2997093,B
126,0.54009223,C
127,0.28094333,C
128,1.5782622,A
129,0.2189801,A
130,0.9717714,A
131,0.27402592,A
132,1.3024926,B
133,0.7424393,A
134,1.3154622,B
135,0.45252335,B
136,0.6262956,A
137,0.0014158338,C
138,1.0649016,B
139,1.130347,A
140,0.6354865,B
141,0.18703571,A
142,0.4240185,B
143,0.6480721,C
144,1.4451783,A
145,1.3083477,A
146,0.15560222,B
147,0.53545827,C
148,0.116888344,B
149,0.36978227,A
150,1.0814906,C
151,0.79234755,C
152,1.5246928,C
153,1.3335474,B
154,0.7330595,A
155,0.9623483,C
156,0.18830654,C
157,0.1496265,B
158,0.80446875,A
159,0.9834697,B
160,1.1133157,A
161,0.61693287,C
162,1.2171984,B
163,1.4566151,B
164,0.8782418,A
165,1.0965458,C
166,0.13212867,B
167,1.2437552,B
168,1.2563467,A
169,1.1193532,A
170,1.0711856,C
171,0.5227816,B
172,0.13919836,C
173,0.19861619,A
174,1.572624,B
175,1.6607544,B
176,0.40432504,B
177,1.0119781,C
178,1.2962472,A
179,0.5070817,B
180,1.4937685,A
181,0.42552984,A
182,0.71275175,C
183,1.3402635,B
184,1.4707282,A
185,0.3050085,A
186,1.1803197,B
187,1.2545047,A
188,1.1945641,C
189,1.314213,A
190,1.2714734,A
191,1.4387761,C
192,0.50612944,C
193,0.41259426,B
194,0.047163233,A
195,0.47321916,A
196,0.98809767,B
197,1.1367221,A
198,1.1502717,C
199,0.13272393,A
200,0.4392277,C
201,1.6076095,A
202,0.29002434,B
203,1.2193773,A
204,1.3907712,A
205,0.40030897,C
206,1.2121559,A
207,0.4353627,A
208,1.4597683,A
209,1.0839281,C
210,0.8859553,A
211,1.123856,C
212,1.3919814,C
213,1.5229023,A
214,0.36494106,B
215,1.1491191,C
216,1.588656,B
217,1.4691199,B
218,0.33700573,C
219,0.8537903,A
220,1.3788768,C
221,0.06856471,A
222,0.054777414,B
223,1.0776434,A
224,0.43064255,C
225,1.3172374,B
226,0.32986495,C
227,1.378982,C
228,1.5165622,B
229,0.45561767,C
230,0.6493131,A
231,0.669428,A
232,1.4729186,B
233,0.5345719,B
234,1.172457,C
235,0.8317561,C
236,1.5553123,C
237,1.6341627,A
238,1.3751166,B
239,1.3699464,C
240,0.7710499,C
241,1.4661427,C
242,0.8333967,C
243,1.3740422,B
244,0.98504984,A
245,1.2106855,B
246,1.3079567,B
247,1.2025455,A
248,1.6364355,A
249,0.254923,A
250,0.8721474,A
251,1.371727,C
252,1.2276059,C
253,0.4898787,C
254,0.6180791,A
255,0.3670668,A
256,0.6563513,A
257,1.1167543,B
258,0.98573947,C
259,0.7474903,B
260,0.7035116,C
261,0.492518,A
262,1.0701458,C
263,0.79598373,A
264,0.87246734,A
265,1.4568973,C
