in,xla,xlb
0,1.1350298,A
1,1.2433825,B
2,1.1523007,A
3,0.8025744,A
4,0.28877,A
5,1.1605356,A
6,0.2730058,B
7,0.46897054,C
8,1.0085354,C
9,0.8087503,C
10,1.0872653,B
11,0.40515536,C
12,1.1665766,B
13,1.1247537,C
14,1.1995139,B
15,0.21629377,B
16,0.96170825,B
17,1.1413391,B
18,1.1970145,C
19,1.2298112,C
20,1.1937732,A
21,1.2426227,A
22,1.0154011,A
23,1.1694345,A
24,1.200734,B
25,0.99174935,C
26,1.2135477,B
27,1.1913545,B
28,0.59466827,C
29,1.1310622,A
30,1.2134485,B
31,-0.046598,B
32,0.34155193,A
33,1.7183876,A
34,1.2266357,A
35,0.93834406,C
36,0.88469726,A
37,1.2049942,A
38,1.1849167,A
39,1.165061,B
40,0.37427354,B
41,0.92586017,B
42,0.32580838,B
43,0.2294271,B
44,1.2263305,B
45,0.76289606,B
46,1.1180007,C
47,1.216815,B
48,1.2269673,C
49,1.2177887,C
50,0.32710075,A
51,1.1293973,A
52,0.48467466,B
53,0.9955316,A
54,0.039011806,C
55,0.41345376,C
56,1.2304903,A
57,1.1929009,C
58,1.2246822,A
59,0.03907597,C
60,0.70486116,C
61,-0.0054326393,A
62,0.64720905,B
63,0.6282485,B
64,1.1192405,C
65,1.0423236,A
66,0.042494632,B
67,0.6131634,A
68,0.660645,A
69,1.0235223,A
70,0.20918289,A
71,1.1835152,C
72,1.1971214,A
73,0.09069094,C
74,1.2071391,B
75,1.1976956,C
76,1.1463054,A
77,0.7178209,C
78,1.1679868,B
79,0.9252356,A
80,0.98976076,A
81,1.1172584,A
82,0.9084426,C
83,1.1588681,B
84,1.1977367,B
85,0.54733074,B
86,1.0696489,A
87,0.49644396,C
88,1.1794224,A
89,1.491715,B
90,0.956253,A
91,1.2174641,A
92,1.1539431,C
93,0.5968082,B
94,-0.080126554,C
95,0.9337353,C
96,1.2312683,B
97,0.8242234,C
98,1.2181389,B
99,1.1717196,B
100,1.1909721,B
101,0.9861191,C
102,0.036119804,A
103,1.1959078,B
104,1.2022476,C
105,1.2006271,B
106,0.32617816,B
107,1.1621596,A
108,0.9620904,B
109,-0.14259303,C
110,1.016162,C
111,1.2226007,A
112,0.95438933,C
113,1.209545,A
114,0.80461836,C
115,-0.08474307,C
116,0.4705824,B
117,0.29636014,C
118,1.2112916,A
119,1.1491797,B
120,1.098885,B
121,1.0316277,C
122,1.2294837,A
123,1.1914493,B
124,1.0415164,B
125,1.2207569,B
126,0.8504205,C
127,0.52124953,C
128,0.33536077,C
129,0.04947735,A
130,1.0127664,A
131,0.33354288,A
132,1.0217524,B
133,0.40394068,A
134,1.6282127,A
135,1.0900409,C
136,0.9117937,A
137,0.46386006,C
138,0.09076941,B
139,0.810578,A
140,0.15240777,B
141,0.22899975,A
142,0.6803608,A
143,0.29215294,C
144,1.2007489,A
145,0.40535933,A
146,0.4164564,A
147,0.9715011,C
148,0.23753935,A
149,0.14880684,A
150,0.92310476,C
151,1.0936793,C
152,1.2043194,C
153,0.8858412,B
154,1.1543983,B
155,1.1711287,C
156,0.03689851,C
157,0.430583,B
158,-0.0036965683,A
159,1.2048285,B
160,1.1994762,A
161,0.5759794,B
162,1.1114768,B
163,1.214325,B
164,0.86716884,A
165,1.2535775,C
166,0.10676207,B
167,1.1531388,B
168,1.1957979,A
169,1.2037469,A
170,1.0172466,C
171,0.10410032,B
172,0.17924717,A
173,0.9263423,A
174,1.1919603,B
175,1.2258613,B
176,0.94210535,B
177,1.1976166,C
178,1.2369375,A
179,1.0442562,B
180,1.2317914,A
181,0.3044465,A
182,0.9488295,C
183,1.1752143,B
184,1.1922085,A
185,0.6106718,A
186,1.1317277,B
187,1.165847,A
188,1.1442868,C
189,1.2315958,A
190,1.186305,A
191,1.2169305,C
192,0.87695324,C
193,0.9097281,B
194,0.5822258,A
195,0.69239867,A
196,1.2235842,B
197,1.0725005,A
198,1.0042096,A
199,0.25937912,A
200,0.16727611,B
201,1.2101336,A
202,0.55067766,B
203,1.1786625,A
204,1.1710111,A
205,0.9530766,C
206,1.0720928,A
207,0.36100924,A
208,1.2168584,A
209,0.5877361,A
210,0.91196835,A
211,0.80897707,C
212,1.2279532,C
213,1.2084779,A
214,0.7166008,B
215,1.0856664,A
216,1.2186905,B
217,1.238299,B
218,0.06897447,C
219,0.54350704,A
220,1.1783719,C
221,0.42746148,A
222,0.927795,B
223,0.687773,A
224,-0.101856776,C
225,1.1909255,B
226,1.0095083,C
227,1.1864766,B
228,1.1495622,B
229,0.6834922,C
230,1.0374451,A
231,0.80018884,A
232,1.1788672,B
233,0.8698956,B
234,1.2146534,C
235,0.22777042,A
236,1.2139933,C
237,1.1990768,A
238,1.1779794,B
239,1.1952101,C
240,0.91744953,B
241,1.2231534,C
242,0.6526279,C
243,1.2088857,B
244,0.6804199,A
245,1.1781461,B
246,0.5963739,B
247,1.0705765,A
248,1.2200494,B
249,0.9126023,A
250,-0.035078198,B
251,1.1869087,C
252,1.1458555,C
253,0.43814957,C
254,0.20277043,A
255,-0.13180348,A
256,0.2992881,A
257,1.2088685,B
258,1.1456861,C
259,1.1076665,B
260,1.0026288,C
261,0.37170726,B
262,1.1882614,B
263,0.037780426,A
264,0.8493138,A
265,1.1177555,A
266,0.9444361,C
267,0.8620821,C
268,1.1708639,A
269,0.61989164,A
270,1.0611227,C
271,0.5369967,C
272,0.86842847,A
273,0.8730146,B
274,0.035117194,B
275,1.153676,A
276,-0.023648873,A
277,-0.032665417,A
278,0.19211133,B
279,1.1839463,B
280,0.96603715,B
281,1.0989549,A
282,0.4327658,A
283,0.17537461,A
284,0.21448734,A
285,1.22156,B
286,0.991764,A
287,0.03036255,B
288,1.1713126,A
289,0.43391776,C
290,-0.057080403,A
291,0.7040506,C
292,0.89813143,A
293,0.18417405,A
294,0.45471722,C
295,1.2707193,B
296,0.45776337,B
297,1.6905289,C
298,0.2684251,C
299,0.18287015,C
300,0.60192347,B
301,0.75660324,C
302,2.367186,A
303,1.2322328,A
304,0.8622175,B
305,2.1413598,A
306,-0.1147171,C
307,-0.10931913,A
308,0.44079638,B
309,0.7525989,C
310,0.5864457,A
311,1.2095014,C
312,0.48369363,C
313,1.4108099,B
314,0.71952945,C
315,0.2721756,B
316,0.45107624,C
317,0.28879055,A
318,0.89195436,B
319,0.9898529,A
320,0.36242056,C
321,1.4131274,B
322,1.2192934,B
323,0.7498534,A
324,0.85646456,B
325,1.1597221,B
326,0.7526663,C
327,0.36109707,C
328,1.1637647,A
329,0.010735422,C
330,0.5088656,C
331,0.035662204,A
332,0.5973477,A
333,0.5251442,C
334,0.8837737,B
335,1.1484499,C
336,0.8843464,A
337,0.75482535,B
338,0.5957887,C
339,0.943366,B
340,1.1430459,B
341,-0.08261032,C
342,1.2351165,B
343,-0.083905436,C
344,0.22277048,C
345,0.97494584,A
346,0.48961228,B
347,1.9394369,C
348,1.0825872,A
349,0.83361554,A
350,0.7477311,B
351,0.8343305,A
352,0.22950989,C
353,0.3385837,C
354,0.1637224,C
355,1.1686417,A
356,0.72775775,A
357,1.2105954,C
358,1.5184723,B
359,0.40714937,B
360,0.33612788,C
361,1.2629902,B
362,0.404859,A
363,0.3709563,C
364,0.33667493,A
365,1.2446434,A
366,0.80708575,A
367,1.0276206,C
368,1.1838313,C
369,1.0381049,A
370,-0.016332492,A
371,-0.0029161647,C
372,0.367707,A
373,0.7591184,A
374,1.1884699,B
375,1.1730608,C
376,1.227135,B
377,1.154094,B
378,0.58588684,B
379,0.7875027,B
380,0.9140296,C
381,0.3601067,B
382,1.0939593,A
383,0.9558479,B
384,1.3450867,B
385,1.0137765,B
386,0.4557147,B
387,0.23163345,B
388,1.2184975,B
389,0.2104195,A
390,1.0746504,B
391,1.4799612,A
392,1.0391688,A
393,0.2869777,B
394,0.9449662,B
395,1.1882483,C
396,0.22506583,A
397,0.45698184,B
398,0.7750528,C
399,0.8822385,A
400,-0.15365383,A
401,1.1943477,A
402,-0.06850496,A
403,0.31603417,B
404,1.0987921,A
405,0.16664253,B
406,0.21250468,C
407,0.9490991,A
408,-0.0041864365,C
409,0.58003354,B
410,1.1826805,B
411,0.63612247,C
412,0.36127707,C
413,0.37557948,A
414,0.50233805,C
415,0.6068846,A
416,0.96927994,A
417,0.8705552,C
418,0.98419774,A
419,0.23631933,A
420,0.19343898,B
421,0.301273,B
422,0.09942395,B
423,0.41957557,C
424,0.54530406,C
425,0.0059666336,C
426,0.72767895,A
427,0.17402938,C
428,0.30550176,A
429,0.09177137,A
430,-0.014057454,C
431,0.152846,A
432,0.25680903,C
433,-0.059547313,C
434,0.35582244,B
435,0.7147288,C
436,0.8223603,A
437,-0.07858553,A
438,0.31546223,C
439,1.065603,A
440,0.9793894,B
441,0.15970692,C
442,-0.10028959,B
443,0.045891188,B
444,1.1350712,A
445,1.2289424,A
446,1.1924653,C
447,0.7390835,B
448,0.7215158,C
449,-0.033737473,C
450,0.68283886,B
451,0.46735537,C
452,0.49633405,A
453,1.3357573,B
454,0.22767597,A
455,0.81627464,B
456,0.41882724,B
457,0.00646431,C
458,-0.14077792,C
459,-0.0002855584,C
460,0.96392566,B
461,1.1543407,C
462,0.0979624,C
463,1.2169862,A
464,-0.056087878,B
465,0.4052244,B
466,1.0310984,B
467,1.1023101,B
468,0.7480555,C
469,0.38137534,A
470,0.80743736,A
471,0.29841775,C
472,0.17287984,B
473,1.1318142,A
474,0.36249512,B
475,0.6187947,A
476,1.2056687,B
477,0.699883,A
478,-0.061168753,C
479,1.1563691,A
480,0.29925454,B
481,1.0828193,A
482,-0.041269563,C
483,0.5652609,A
484,0.1883722,B
485,1.1527427,A
486,0.6527683,C
487,0.708621,B
488,0.46491736,B
489,0.3278436,B
490,0.26776713,A
491,0.58088374,B
492,0.080405876,B
493,0.12730017,C
494,0.18377449,C
495,1.1607001,B
496,0.88628495,B
497,0.8995986,A
498,0.2765115,A
499,0.23108318,C
500,0.62586665,C
501,0.9646651,A
502,0.54089147,A
503,-0.071188055,A
504,0.7976445,A
505,0.16922316,B
506,0.2290653,A
507,-0.12273355,C
508,1.0509086,B
509,0.3905708,C
510,1.187691,C
511,0.5042484,A
512,1.0930884,A
513,0.0043857023,A
514,0.9242736,A
515,0.2519892,A
516,0.8558719,C
517,0.6908293,A
518,1.2347243,A
519,1.0944295,B
520,-0.034882613,B
521,0.885761,B
522,1.1974411,C
523,1.1437398,C
524,1.2317431,B
525,0.05593683,C
526,0.11480378,C
527,1.1064018,B
528,1.1294876,C
529,1.0342084,B
530,-0.11409867,B
531,1.0117418,C
532,0.92085654,A
533,1.02182,B
534,1.7151792,B
535,1.2035494,B
536,0.8540917,B
537,1.1979604,B
538,1.1032795,B
539,1.1571624,A
540,0.1774214,C
541,0.29296374,C
542,1.0012877,B
543,0.29736614,C
544,1.1872208,A
545,1.2265817,B
546,1.1630018,C
547,1.0047269,A
548,0.8494124,B
549,0.5579125,B
550,0.24086574,A
551,0.3890354,C
552,0.48845902,A
553,0.53065306,C
554,0.26057062,C
555,0.07444467,B
556,1.144577,B
557,1.1924711,B
558,1.1561375,C
559,0.67724085,A
560,0.39767295,C
561,1.0365771,A
562,1.2013779,A
563,0.9394711,A
564,1.0765562,C
565,0.14879534,C
566,0.5721909,C
567,0.9152442,A
568,0.3798076,C
569,0.46878737,B
570,1.066005,A
571,1.1595584,B
572,0.4134866,A
573,-0.11082973,A
574,0.22529271,A
575,0.5500303,B
576,1.5417292,A
577,0.8424511,C
578,0.50895995,B
579,1.1578572,C
580,0.3716861,A
581,0.63032454,B
582,0.8175325,A
583,0.7788027,B
584,0.99364436,C
585,1.148079,B
586,1.0767865,B
587,1.2685697,A
588,0.38842526,C
589,1.0966043,B
590,0.3868215,B
591,0.3852353,A
592,0.47172552,A
593,0.19013673,B
594,0.6382361,C
595,0.76580524,C
596,0.39816135,C
597,0.20068598,B
598,0.23081079,A
599,0.5966612,C
600,0.9368371,A
601,0.2013529,C
602,0.80355656,B
603,-0.10144062,A
604,0.5113449,B
605,0.13381305,C
606,1.1372973,C
607,0.35084313,B
608,1.2749476,B
609,1.1112869,B
610,0.96631837,C
611,0.110310294,B
612,1.0813354,A
613,0.939772,C
614,0.8023273,A
615,0.99190646,B
616,0.34180808,B
617,2.125476,B
618,0.15000355,A
619,0.5868439,A
620,1.1103983,A
621,0.7269634,A
622,0.64987856,C
623,1.4963832,A
624,0.71409124,B
625,0.9520503,C
626,1.236033,A
627,0.60449314,A
628,0.18042389,C
629,0.2569359,A
630,0.9512955,C
631,0.6728875,C
632,0.6314097,C
633,0.7851907,A
634,0.08101476,A
635,1.0551001,B
636,0.365081,C
637,0.65856737,B
638,0.59862894,C
639,0.39474243,B
640,-0.15490824,A
641,0.0076070577,C
642,0.937983,C
643,0.49544045,B
644,1.1506972,A
645,0.31220043,B
646,1.0946822,B
647,0.15749979,C
648,0.56120807,B
649,0.49581853,C
650,0.14715798,C
651,2.3365571,A
652,0.4740099,A
653,0.051973633,C
654,0.62056303,C
655,0.1351738,C
656,-0.05592502,C
657,0.5323425,A
658,1.2343816,A
659,1.0060738,B
660,0.21424165,C
661,1.2090521,B
662,-0.05214273,C
663,1.082636,C
664,0.26403964,C
665,0.9737402,A
666,0.37840766,A
667,-0.053121515,A
668,0.47035348,A
669,0.33068112,B
670,0.677977,C
671,-0.07127057,B
672,0.3284721,C
673,0.013616443,B
674,0.8258334,B
675,0.5955899,B
676,0.72884035,C
677,0.6340817,A
678,0.12027647,B
679,1.1112368,C
680,1.1744337,B
681,0.740118,C
682,-0.069004655,C
683,-0.01611067,A
684,0.9041946,B
685,1.3089834,C
686,0.024736308,A
687,0.75892276,B
688,0.54463327,A
689,0.8514067,B
690,0.46755952,B
691,1.1410589,C
692,0.07153799,B
693,0.5081329,A
694,0.8531567,C
695,0.116708696,B
696,1.0355005,C
697,0.5898289,A
698,0.94836926,A
699,1.1729459,C
700,0.7249749,A
701,0.28366908,C
702,1.2398299,C
703,1.1872497,B
704,1.6668179,C
705,1.511692,A
706,0.26350042,B
707,0.42022508,C
708,0.2748396,B
709,0.2879548,B
710,0.3214932,B
711,1.1000754,B
712,0.35437497,B
713,0.1871827,B
714,0.20070945,A
715,0.3731338,A
716,1.6566832,B
717,0.41144633,A
718,0.76592183,B
719,0.8462717,B
720,0.3760739,B
721,0.21473406,B
722,0.10205649,B
723,0.84651494,B
724,0.18801877,B
725,0.5250855,C
726,-0.09526384,C
727,0.11425286,B
728,-0.06384161,B
729,1.5187323,B
730,0.032152347,A
731,0.38432467,A
732,1.1188926,A
733,0.76248145,B
734,0.6842425,B
735,0.6102749,A
736,0.8236247,B
737,1.1798987,B
738,0.5899963,B
739,0.54220957,A
740,0.5188737,B
741,0.53183687,C
742,0.43846428,A
743,1.5247287,A
744,0.36419678,A
745,0.61941,A
746,0.061018996,B
747,0.45281586,C
748,0.10329189,A
749,-0.019139282,A
750,0.5163092,A
751,0.01739131,B
752,1.3207284,B
753,0.35066003,A
754,0.23304811,A
755,1.050009,A
756,2.0014935,A
757,0.68619883,C
758,0.65414906,A
759,0.1349521,C
760,0.29764986,C
761,1.9453993,B
762,1.1018293,C
763,1.4888613,A
764,0.24899824,A
765,0.40393466,A
766,1.4003079,A
767,1.9904532,B
768,0.4776713,C
769,0.46608073,A
770,1.13504,A
771,0.48851532,A
772,1.0510746,A
773,0.07387827,B
774,0.18639219,C
775,0.74340296,C
776,0.8186583,A
777,0.12107765,A
778,0.21195556,C
779,0.9785085,C
780,0.064657316,B
781,-0.11734074,A
782,0.87544894,B
783,0.17651758,B
784,0.5375105,B
785,0.34559527,B
786,0.4513325,C
787,-0.056818202,C
788,0.8270166,A
789,0.1224716,B
790,1.8666188,C
791,-0.057849534,C
792,0.566111,C
793,0.17866889,A
794,0.63833976,B
795,0.28801423,C
796,0.72740567,C
797,0.76597804,B
798,1.2309031,C
799,0.071485884,C
800,0.7729455,B
801,0.9714269,C
802,1.9181556,A
803,0.24418569,B
804,1.1414241,B
805,0.69893795,A
806,0.9069194,A
807,0.84179527,B
808,0.86910903,B
