0-A	0	a	He poured orange juice on his cereal.<eol>.Orange juice is usually bright orange.
0-B	1	a	He poured orange juice on his cereal.<eol>.Orange juice doesn't taste good on cereal.
0-C	0	a	He poured orange juice on his cereal.<eol>.Orange juice is sticky if you spill it on the table.
1-A	0	a	He drinks apple.<eol>.Apple juice are very tasty and milk too
1-B	1	a	He drinks apple.<eol>.Apple can not be drunk
1-C	0	a	He drinks apple.<eol>.Apple cannot eat a human
2-A	1	a	Jeff ran 100,000 miles today<eol>.100,000 miles is way to long for one person to be able to run in one day.
2-B	0	a	Jeff ran 100,000 miles today<eol>.Jeff is a four letter name and 100,000 has six numerical digest
2-C	0	a	Jeff ran 100,000 miles today<eol>.100,000 miles is longer than 100,000 km.
3-A	0	a	I sting a mosquito<eol>.A human is a mammal
3-B	0	a	I sting a mosquito<eol>.A human is omnivorous
3-C	1	a	I sting a mosquito<eol>.A human has not stings
4-A	0	a	A giraffe is a person.<eol>.Giraffes can drink water from a lake.
4-B	1	a	A giraffe is a person.<eol>.A giraffe is not a human being.
4-C	0	a	A giraffe is a person.<eol>..Giraffes usually eat leaves.
5-A	0	a	A normal closet is larger than a walk-in closet.<eol>.Walk-in closets are normal closets.
5-B	0	a	A normal closet is larger than a walk-in closet.<eol>.A person can sleep in a walk-in closet.
5-C	1	a	A normal closet is larger than a walk-in closet.<eol>.A person cannot walk into a normal closet because it is smaller than a walk-in closet.
6-A	0	a	I like to ride my chocolate<eol>.Chocolate is delicious and bikes are not
6-B	1	a	I like to ride my chocolate<eol>.Chocolate is a food, not a transportation unit
6-C	0	a	I like to ride my chocolate<eol>.My bike can't ride a chocolate
7-A	0	a	A GIRL WON THE RACE WITH HORSE<eol>.GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE
7-B	0	a	A GIRL WON THE RACE WITH HORSE<eol>.THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .
7-C	1	a	A GIRL WON THE RACE WITH HORSE<eol>.HORSE RAN FASTER THAN HER
8-A	0	a	he put elephant into the jug<eol>.elephants is an animal and jug is a thing
8-B	1	a	he put elephant into the jug<eol>.a jug is so small than an elephant
8-C	0	a	he put elephant into the jug<eol>.jug is used for store things
9-A	1	a	A dog plays volleyball<eol>.Only humans play volleyball
9-B	0	a	A dog plays volleyball<eol>.Dogs are not wild animals
9-C	0	a	A dog plays volleyball<eol>.Humans trust dogs
10-A	0	a	Eggs eat kis on Easter.<eol>.Easter has a lot of eggs.
10-B	1	a	Eggs eat kis on Easter.<eol>.No egg eat kids.
10-C	0	a	Eggs eat kis on Easter.<eol>.Eggs are made for easter.
11-A	0	a	Mark drank a notebook.<eol>.The notebook was yellow and Mark does not drink anything yellow.
11-B	1	a	Mark drank a notebook.<eol>.A notebook is a solid and by definition a person can only drink a liquid.
11-C	0	a	Mark drank a notebook.<eol>.Notebooks cost $.50
12-A	0	a	He went to the police station to withdraw cash.<eol>.Police catches thieves while money can buy you things.
12-B	1	a	He went to the police station to withdraw cash.<eol>.Police station is a place to file criminal complaints.
12-C	0	a	He went to the police station to withdraw cash.<eol>.Police station has jails but no money to give.
13-A	0	a	An employee can price goods<eol>.An owner serve foods to employees
13-B	0	a	An employee can price goods<eol>.Owners always stand and sell goods
13-C	1	a	An employee can price goods<eol>.Only owner could price the goods
14-A	0	a	she wear hat in the hand<eol>.hat usually black in colour and bangles are in different colours
14-B	1	a	she wear hat in the hand<eol>.hat usually wear on the head
14-C	0	a	she wear hat in the hand<eol>.hat will be big in size
15-A	0	a	My cousin throws the house to my brother.<eol>.Houses are usually expensive.
15-B	1	a	My cousin throws the house to my brother.<eol>.A house is too big to throw.
15-C	0	a	My cousin throws the house to my brother.<eol>.There are several houses on this street.
16-A	0	a	Roses buds  eat caterpillars<eol>.Rose buds are edible while caterpillars aren't
16-B	0	a	Roses buds  eat caterpillars<eol>.Rose buds bloom and caterpillars crawl
16-C	1	a	Roses buds  eat caterpillars<eol>.Caterpillars have mouths while rose buds don't
17-A	0	a	Lisa played jazz music for Moses of the Old Testament yesterday.<eol>.Moses was too busy talking to the burning bush
17-B	1	a	Lisa played jazz music for Moses of the Old Testament yesterday.<eol>.Moses has been dead for a long time and could not have heard a concert yesterday.
17-C	0	a	Lisa played jazz music for Moses of the Old Testament yesterday.<eol>.Jazz is a fading art form
18-A	0	a	the computer broke down and the doctor fixed it<eol>.the technician heals people and the doctor heals machines
18-B	0	a	the computer broke down and the doctor fixed it<eol>.the technician is a doctor's friend and fixes the computer
18-C	1	a	the computer broke down and the doctor fixed it<eol>.a doctor does not fix computers
19-A	0	a	I drank bleach.<eol>.Bleach is a denser liquid than water.
19-B	1	a	I drank bleach.<eol>.Bleach is used for cleaning.
19-C	0	a	I drank bleach.<eol>.Bleach is not stored in the kitchen.
20-A	0	a	I usually wear a shoe on my head<eol>.Cap looks good on the head
20-B	1	a	I usually wear a shoe on my head<eol>.Shoe can be worn in feet only
20-C	0	a	I usually wear a shoe on my head<eol>.We wear different things on the head
21-A	0	a	My brother placed the nuclear reactor inside the box.<eol>.Nuclear reactor can be contained in a container.
21-B	0	a	My brother placed the nuclear reactor inside the box.<eol>.Nuclear reactor is contained in a place.
21-C	1	a	My brother placed the nuclear reactor inside the box.<eol>.Nuclear reactor is way too big to be placed in a box.
22-A	1	a	She took the chair for a walk<eol>.Chairs can't walk
22-B	0	a	She took the chair for a walk<eol>.Chairs can only go for runs
22-C	0	a	She took the chair for a walk<eol>.A chair is red
23-A	0	a	A dog roared at a cat in the street.<eol>.Dogs do not usually roar at cats.
23-B	1	a	A dog roared at a cat in the street.<eol>.Roar is not a dog characteristic.
23-C	0	a	A dog roared at a cat in the street.<eol>.Dogs do not roar when they are chasing cats.
24-A	0	a	He mowed the carpet<eol>.grass is usually green while carpets are usually not
24-B	1	a	He mowed the carpet<eol>.lawnmowers are for cutting grass, not carpets
24-C	0	a	He mowed the carpet<eol>.carpet is too short to mow
25-A	0	a	I drive a bike<eol>.A bike and a car is a very good mode of transport
25-B	0	a	I drive a bike<eol>.I either use my bike or use my car to go to the office
25-C	1	a	I drive a bike<eol>.A bike is ridden not driven
26-A	1	a	I dress an elephant<eol>.An elephant is a wild animal
26-B	0	a	I dress an elephant<eol>.An elephant is grey
26-C	0	a	I dress an elephant<eol>.An elephant has a proboscis
27-A	1	a	I cook football very well<eol>.A football is thing to play with not a thing to eat
27-B	0	a	I cook football very well<eol>.A football kept on the table looks good
27-C	0	a	I cook football very well<eol>.A football and a watermelon is almost equal in size
28-A	0	a	Car is a very good mode of water transport<eol>.A car and a boat is a good mode of transport
28-B	1	a	Car is a very good mode of water transport<eol>.Car is a mode of land of transport
28-C	0	a	Car is a very good mode of water transport<eol>.I either use a boat and a car to travel
29-A	0	a	a dog is taken to a pool after getting sick<eol>.the dogs get sick and the pools clean
29-B	1	a	a dog is taken to a pool after getting sick<eol>.a pool has no medical attention for animals
29-C	0	a	a dog is taken to a pool after getting sick<eol>.a dog cannot spread a pool
30-A	0	a	She rode her bike to the moon.<eol>.Her bike is not the same color as the moon.
30-B	1	a	She rode her bike to the moon.<eol>.The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.
30-C	0	a	She rode her bike to the moon.<eol>.She did not have permission from her parents to ride her bike that far away from home.
31-A	0	a	A boy shuts down<eol>.A boy is full of energy
31-B	0	a	A boy shuts down<eol>.A boy is a male
31-C	1	a	A boy shuts down<eol>.A boy can fall asleep, but a boy cannot shut down
32-A	0	a	He planted cucumber seeds in the couch.<eol>.Cucumber seeds make sitting in a couch uncomfortable.
32-B	0	a	He planted cucumber seeds in the couch.<eol>.Digging a hole in the couch to plant seeds can be very messy.
32-C	1	a	He planted cucumber seeds in the couch.<eol>.Cucumbers need the conditions of a garden to grow instead of a couch.
33-A	0	a	I play games on my Gas stove<eol>.Gas stove a very important equipment used in the house
33-B	0	a	I play games on my Gas stove<eol>.Gas stove is frequently used in the house
33-C	1	a	I play games on my Gas stove<eol>.Gas stove is equipment to cook food
34-A	1	a	Stars read me<eol>.Stars has not eyes
34-B	0	a	Stars read me<eol>.Stars are too big
34-C	0	a	Stars read me<eol>.Stars are too far
35-A	0	a	A boy turns off the door<eol>.A door cannot turn off a light
35-B	1	a	A boy turns off the door<eol>.A door can be closed but a door cannot be turned off
35-C	0	a	A boy turns off the door<eol>.A light cannot close the door
36-A	1	a	He read a very long window King Tut.<eol>.Books have pages and words to read, while windows do not and serve a different purpose.
36-B	0	a	He read a very long window King Tut.<eol>.Glass windows were invented after King Tut was born.
36-C	0	a	He read a very long window King Tut.<eol>.Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.
37-A	0	a	He lost his phone in the mouth of a griffin.<eol>.A griffin would find that metal of a phone disgusting and not want to eat it.
37-B	0	a	He lost his phone in the mouth of a griffin.<eol>.A griffin always shares what it eats with it's baby griffins.
37-C	1	a	He lost his phone in the mouth of a griffin.<eol>.A griffin is a mythical creature that does not exist.
38-A	0	a	Sara had a glass of petrol<eol>.Sara does not like the taste of petrol
38-B	0	a	Sara had a glass of petrol<eol>.Sara was not thirsty enough to have a whole glass of petrol
38-C	1	a	Sara had a glass of petrol<eol>.drinking petrol is dangerous to one's life
39-A	0	a	he kept a chair inside the fridge<eol>.fridge store vegetables and fruits
39-B	1	a	he kept a chair inside the fridge<eol>.chair is bigger than the fridge
39-C	0	a	he kept a chair inside the fridge<eol>.chair used to sit
40-A	1	a	I read a tiger<eol>.A tiger has not letters on herself
40-B	0	a	I read a tiger<eol>.A tiger is orange
40-C	0	a	I read a tiger<eol>.A tiger is wild
41-A	0	a	I use internet on my radio<eol>.We get signal on a radio
41-B	0	a	I use internet on my radio<eol>.Radio is a great mode of communication
41-C	1	a	I use internet on my radio<eol>.Internet can not be used on a radio
42-A	0	a	She drove her children to the moon.<eol>.Children can't breathe on the moon.
42-B	0	a	She drove her children to the moon.<eol>.The moon has no swing sets.
42-C	1	a	She drove her children to the moon.<eol>.The moon is not reachable by car.
43-A	1	a	She parachuted into the grocery store from a plane.<eol>.If you jumped from a plane to get groceries, you would have no way to get them home.
43-B	0	a	She parachuted into the grocery store from a plane.<eol>.It's difficult to park a plane in a grocery store parking lot.
43-C	0	a	She parachuted into the grocery store from a plane.<eol>.Grocery stores do not carry parachutes.
44-A	0	a	The fish swam in the desert.<eol>.Fish do not take vacations to the desert.
44-B	0	a	The fish swam in the desert.<eol>.Fish swim in water that is blue or green, while a desert is yellow sand
44-C	1	a	The fish swam in the desert.<eol>.A desert has no water, so a fish could not swim there.
45-A	0	a	There was a dead ice creature walking in the snow.<eol>.Dead ice creatures do not walk on ice.
45-B	0	a	There was a dead ice creature walking in the snow.<eol>.Dead ice creatures do not walk.
45-C	1	a	There was a dead ice creature walking in the snow.<eol>.Dead ice creatures do not exist.
46-A	0	a	I swim under a tap<eol>.Tap a good source of water
46-B	0	a	I swim under a tap<eol>.Tap water is generally used to take bath
46-C	1	a	I swim under a tap<eol>.There are not enough water under a tap to swim
47-A	1	a	A person eats mountains<eol>.A mountain is much bigger than a person
47-B	0	a	A person eats mountains<eol>.Mountains are usually cold while a person is usually hot
47-C	0	a	A person eats mountains<eol>.Mountains cannot eat a person
48-A	1	a	Jane saw a giraffe in her purse.<eol>.A purse is too small for a giraffe to be in.
48-B	0	a	Jane saw a giraffe in her purse.<eol>.The giraffe's body pattern clashes with her purple leather purse.
48-C	0	a	Jane saw a giraffe in her purse.<eol>.Jane's dad does not allow her to have pets.
49-A	0	a	We use book to know the time<eol>.A book and a clock is very essential in our daily life
49-B	1	a	We use book to know the time<eol>.A book is used to study
49-C	0	a	We use book to know the time<eol>.A book plays a very important role in our life
50-A	1	a	I was playing basketball with a rock<eol>.You need a bouncing objet for playing basketball, and a rock does not bounce
50-B	0	a	I was playing basketball with a rock<eol>.Rock are usually opaque and the ball is orange
50-C	0	a	I was playing basketball with a rock<eol>.People really love to watch NBA
51-A	0	a	Mary took her moth for a walk<eol>.moths like flying towards the light
51-B	1	a	Mary took her moth for a walk<eol>.it is unusual to keep a moth as a pet
51-C	0	a	Mary took her moth for a walk<eol>.somebody stepped on the moth and crushed it
52-A	0	a	I like to listen colours as I commute<eol>.Colours are not usually easy to find in dark
52-B	0	a	I like to listen colours as I commute<eol>.You should not run as you commute
52-C	1	a	I like to listen colours as I commute<eol>.Colours cannot being listened
53-A	0	a	I run in the air<eol>.We can travel using both air and the ground
53-B	1	a	I run in the air<eol>.Walking is not possible in the air
53-C	0	a	I run in the air<eol>.Birds fly in the air
54-A	0	a	There was a blonde woman riding a dragon.<eol>.Blond women don't ride dragons.
54-B	0	a	There was a blonde woman riding a dragon.<eol>.Usually women don't ride dragons.
54-C	1	a	There was a blonde woman riding a dragon.<eol>.Dragons do not exist.
55-A	0	a	He ate the book<eol>.Book does not taste good
55-B	0	a	He ate the book<eol>.He does not like book
55-C	1	a	He ate the book<eol>.Book is not a food
56-A	0	a	Jake ate artificial mango<eol>.Mango are sweet but bitter too
56-B	1	a	Jake ate artificial mango<eol>.Human can't eat artificial made fruits
56-C	0	a	Jake ate artificial mango<eol>.Mango cannot eat jack
57-A	0	a	Baby is taking dictionary<eol>.Dictionary is colour full
57-B	1	a	Baby is taking dictionary<eol>.It is too heavy
57-C	0	a	Baby is taking dictionary<eol>.Dictionary can not  take a baby
58-A	1	a	the school was open for summer<eol>.summertime is typically vacation time for school
58-B	0	a	the school was open for summer<eol>.the temperature outside is too hot to learn in the summer
58-C	0	a	the school was open for summer<eol>.schools wait until the first leaf falls in autumn to open
59-A	1	a	The chocolate cried<eol>.Chocolate is a melting solid therefore cannot cry
59-B	0	a	The chocolate cried<eol>.The chocolate has no eyes to cry
59-C	0	a	The chocolate cried<eol>.The chocolate was too cold
60-A	0	a	There are barbecues in the middle of a television program<eol>.barbecues can be shown in commercials
60-B	0	a	There are barbecues in the middle of a television program<eol>.barbecues and commercials are sold to us
60-C	1	a	There are barbecues in the middle of a television program<eol>.barbecues are a physical object not like commercials
61-A	0	a	He was tired and so he went to get into his car.<eol>.Cars are small, cozy places.
61-B	1	a	He was tired and so he went to get into his car.<eol>.One should not drive when one is tired.
61-C	0	a	He was tired and so he went to get into his car.<eol>.Cars have soft seats inside them that one can lay on.
62-A	0	a	You never puke after getting drunk<eol>.We all puke without alcohol
62-B	1	a	You never puke after getting drunk<eol>.Too much alcohol in our organism makes us puke
62-C	0	a	You never puke after getting drunk<eol>.There are drinks with no alcohol
63-A	1	a	You can use a jellyfish to hold checks.<eol>.A jellyfish is a sea creature not intended to hold anything.
63-B	0	a	You can use a jellyfish to hold checks.<eol>.Jellyfish are soft and checks are made of paper.
63-C	0	a	You can use a jellyfish to hold checks.<eol>.Jellyfish don't eat checks.
64-A	0	a	Lawyers are people who play characters in television or theatre<eol>.many lawyers do not have time to watch the television
64-B	1	a	Lawyers are people who play characters in television or theatre<eol>.lawyers are people who provide legal aid
64-C	0	a	Lawyers are people who play characters in television or theatre<eol>.some characters in television or theatre are lawyers
65-A	0	a	A giraffe drove a car<eol>.Giraffes are normally reckless drivers
